id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
170	"ahn, sei hyun"	1.5175	0.3709	8	6	9	5	2016.2
353	"altzibar, jone m"	-0.5473	1.0682	7	12	44	5	2017.2
371	"ambrosone, christine b"	0.4176	-0.607	5	47	207	24	2016.25
505	"aragones, nuria"	-0.5576	1.1984	7	19	112	13	2016.6154
519	"ardanaz, eva"	-0.6889	1.1757	7	11	33	5	2016.8
541	"armstrong, katrina"	-0.1282	0.5152	12	12	24	7	2016.2857
549	"aronson, kristan j"	0.5859	-0.1941	16	5	12	5	2016.8
720	"bae, min sun"	1.7249	0.2475	8	13	42	10	2016.6
735	"baglietto, laura"	0.6087	0.1583	11	12	26	7	2016.4286
809	"bandera, elisa v"	0.3842	-0.7357	5	27	173	19	2016.2632
835	"bao, ting"	-0.0005	0.6	12	1	4	5	2017.6
851	"barcenas, carlos h"	-0.6428	-0.252	1	8	12	5	2017.6
940	"baumgartner, kathy b"	0.0341	-0.4498	4	8	31	7	2016.4286
968	"beck, andrew h"	0.1269	0.0085	2	28	50	12	2016.25
974	"beckmann, matthias w"	0.4144	0.4715	6	15	45	8	2017
981	"bedrosian, isabelle"	-0.7182	-0.2589	1	7	14	6	2016.3333
1058	"bensen, jeannette t"	0.2864	-0.7969	5	20	88	9	2016.4444
1098	"bernstein, jonine l"	-0.3454	-0.7333	15	12	69	7	2017.2857
1099	"bernstein, leslie"	-0.2088	-0.6243	15	25	91	14	2016.7143
1121	"bertrand, kimberly a"	0.2628	0.1299	2	29	64	13	2016.3846
1131	"bethea, traci n"	0.3663	-0.6444	5	18	67	8	2015.75
1140	"beyea, jan"	0.4456	-0.4273	9	12	38	6	2016.1667
1365	"boughey, judy c"	-0.6214	-0.1112	1	10	27	17	2017.0588
1402	"boyle, terry"	0.6485	-0.1618	16	4	5	5	2016.2
1417	"bradshaw, patrick t"	0.2948	-0.4107	9	11	31	5	2015.6
1436	"brandt, kathleen r"	0.2073	0.3522	6	21	46	5	2016
1464	"brennan, patrick c"	0.9165	0.2481	11	6	6	7	2018
1469	"brentnall, adam r"	-1.3425	0.5074	20	3	16	7	2017
1485	"brinton, louise a"	-0.0736	0.043	3	40	132	18	2016.1111
1501	"brooks, jennifer d"	-0.2913	-0.7778	15	12	60	6	2017.5
1573	"buist, diana s m"	-0.382	0.2581	10	16	34	9	2016
1787	"carey, lisa a"	-0.254	-0.1953	1	14	20	6	2017.1667
1852	"castano-vinyals, gemma"	-0.6114	1.0594	7	12	55	7	2016.4286
1928	"chagpar, anees b"	-1.4334	-0.4296	14	6	12	6	2016
1983	"chang, jung min"	1.6432	0.3122	8	12	43	10	2016.6
1988	"chang, ruey-feng"	1.7281	0.3371	8	8	23	7	2016
2001	"chang-claude, jenny"	0.1423	0.5936	13	3	3	6	2015.6667
2044	"chavez-macgregor, mariana"	-0.6249	-0.3197	1	9	19	7	2016.1429
2091	"chen, jinbo"	-0.0854	0.5816	12	7	17	6	2015.5
2193	"cheng, ting-yuan david"	0.5283	-0.8918	5	18	54	5	2016.6
2236	"chicoine, rachael e"	-0.1309	0.1519	3	18	61	5	2015.2
2279	"cho, nariya"	1.601	0.2816	8	9	32	7	2016.8571
2370	"chung, kevin c"	0.0588	-0.1655	2	2	7	6	2016
2457	"colditz, graham a"	0.2426	-0.0249	2	9	22	13	2016.5385
2498	"conant, emily f"	-0.182	0.5569	12	14	32	9	2016.3333
2527	"conway, kathleen"	0.1783	-0.2896	9	14	29	7	2016.2857
2638	"crew, katherine d"	0.1168	-0.2858	2	13	30	7	2016.2857
2699	"cuzick, jack"	-1.3026	0.527	20	7	22	11	2016.6364
2708	"czene, kamila"	-0.616	0.5773	18	8	65	19	2017.1053
2962	"dean, lorraine t"	0.012	0.46	12	6	7	5	2016.6
2986	"degnim, amy c"	-0.4106	0.0204	3	16	45	8	2016.5
3017	"demichele, angela"	-0.011	0.5339	12	3	5	6	2015.8333
3066	"deroo, lisa a"	0.2562	-0.1468	16	3	7	5	2015.8
3209	"dite, gillian s"	0.8714	0.149	11	12	34	6	2016.6667
3293	"dos-santos-silva, isabel"	-0.2438	0.4633	13	4	9	6	2016.6667
3344	"du, xianglin l"	-0.7436	-0.3977	1	1	1	5	2016.4
3363	"duffy, stephen w"	-1.2691	0.5149	20	1	2	5	2016.2
3430	"ederra, maria"	-0.528	1.3025	7	18	59	6	2017.1667
3506	"eliassen, a heather"	0.3397	0.1248	2	19	54	16	2016.375
3526	"elmore, joann g"	-0.2713	0.3575	10	7	13	5	2016.6
3565	"english, dallas r"	0.7491	0.142	11	10	27	5	2016.6
3592	"eriksson, mikael"	-0.6281	0.5184	18	9	61	19	2017.2105
3648	"evans, suzanne b"	-1.3748	-0.3484	14	7	22	7	2015.8571
3686	"falk, roni t"	-0.0084	0.0709	3	33	70	11	2016.4545
3690	"fan, bo"	0.0069	0.2362	3	30	85	8	2016.375
3757	"fasching, peter a"	0.4633	0.4747	6	15	46	9	2017.1111
3777	"fayanju, oluwadamilola m"	-0.6456	-0.1917	1	3	3	5	2017.8
3878	"figueroa, jonine d"	-0.2242	-0.0152	3	21	36	5	2016
3995	"fortner, renee t"	0.2712	0.0739	2	6	9	5	2015.8
4054	"freedman, rachel a"	-0.4113	-0.2277	1	6	12	13	2016
4068	"freudenheim, jo l"	0.6569	-0.6154	9	7	18	8	2016.5
4091	"fritschi, lin"	0.678	-0.1599	16	4	8	5	2015.8
4098	"frost, marlene h"	-0.3632	0.0625	3	12	29	5	2016.4
4210	"gammon, marilie d"	0.3256	-0.355	9	17	84	15	2016.0667
4228	"gangnon, ronald e"	-0.3399	0.1957	10	6	19	5	2016.6
4233	"ganz, patricia a"	0.1684	-0.139	2	2	2	7	2016.2857
4363	"geller, berta m"	-0.1778	0.244	3	21	52	7	2015.5714
4452	"gierach, gretchen l"	-0.1544	0.0632	3	29	106	14	2016.0714
4464	"giles, graham g"	0.757	0.1919	11	12	47	9	2016.4444
4488	"giordano, sharon h"	-0.7026	-0.3582	1	12	31	13	2016.8462
4503	"giuliano, anna r"	0.0874	-0.4492	4	6	20	5	2015.8
4551	"golatta, michael"	0.6112	0.6919	6	3	12	6	2016.5
4586	"gomez, scarlett l"	-0.1854	-0.4263	4	5	8	6	2017
4587	"gomez, scarlett lin"	-0.143	-0.4894	4	7	10	6	2017.1667
4588	"gomez-acebo, ines"	-0.633	1.1796	7	11	56	7	2016.7143
4732	"greenberg, caprice c"	-0.5254	-0.0576	1	4	12	8	2017.125
4734	"greenlee, heather"	0.0554	-0.2647	2	9	20	7	2016.2857
4754	"griggs, jennifer j"	0.1456	-0.1644	2	3	4	5	2016.6
4757	"grimm, lars j"	-0.3555	-0.3974	1	2	8	7	2016.4286
4774	"gross, cary p"	-1.3556	-0.4099	14	9	33	10	2015.9
4780	"grundy, anne"	0.5294	-0.174	16	4	10	5	2016.8
4910	"haas, jennifer s"	-0.379	0.3812	10	12	23	5	2016
4913	"habel, laurel a"	-0.1624	-0.2412	4	11	19	8	2015.625
4914	"haberle, lothar"	0.4746	0.5331	6	8	23	5	2017.4
4915	"habermann, elizabeth b"	-0.6611	-0.0684	1	3	13	7	2017.2857
4918	"hack, carolin c"	0.4119	0.4153	6	14	39	6	2016.6667
4924	"haddad, stephen a"	0.4023	-0.8564	5	18	70	6	2016.6667
4951	"haiman, christopher a"	0.3526	-0.7981	5	24	115	10	2016.3
4977	"hall, per"	-0.6667	0.57	18	8	67	20	2017.15
5000	"hamilton, ann s"	-0.5239	-0.6229	17	9	42	8	2016.75
5016	"hampton, john m"	-0.3159	0.2297	10	8	25	6	2016.3333
5043	"han, wonshik"	1.5385	0.273	8	14	43	11	2016.6364
