id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
44	ahmad s.	-0.3564	0.1864	3	6	18	10	110	18.338	2019.6	11	1.8338
66	ali a.	-0.4129	-0.2132	3	9	23	15	371	21.3093	2017.2667	24.7333	1.4206
98	amani j.	0.9064	0.7111	8	0	0	6	58	4.2267	2018.1667	9.6667	0.7044
149	ashfaq u.a.	-0.4847	0.1215	3	5	8	8	73	19.5967	2020.625	9.125	2.4496
165	azam s.s.	-0.3386	0.2741	3	2	6	5	84	5.8859	2018.2	16.8	1.1772
167	azevedo v.	-0.3651	-0.4577	2	11	56	14	166	8.5817	2017	11.8571	0.613
208	barh d.	-0.4733	-0.4902	2	11	40	9	115	6.4856	2016.8889	12.7778	0.7206
644	ellis j.t.	0.2684	0.6794	5	2	10	5	81	4.0297	2015.2	16.2	0.8059
708	flower d.r.	-0.7669	0.8908	9	0	0	6	1104	10.8545	2011	184	1.8091
775	ghasemi y.	-0.4029	0.8179	10	0	0	5	76	6.5981	2019.2	15.2	1.3196
821	goodswen s.j.	0.2077	0.7246	5	2	10	5	81	4.0297	2015.2	16.2	0.8059
898	hasan m.	-1.196	0.0601	11	0	0	5	66	6.2791	2019.6	13.2	1.2558
914	he y.	0.5649	-0.7098	4	4	17	18	685	32.0255	2015.5	38.0556	1.7792
1007	ismail s.	-0.4344	0.2047	3	6	10	6	27	7.4379	2020.1667	4.5	1.2396
1020	jaiswal a.k.	-0.2166	-0.6373	2	6	33	9	47	4.1924	2019.8889	5.2222	0.4658
1104	kennedy p.j.	0.1986	0.6492	5	2	10	5	81	4.0297	2015.2	16.2	0.8059
1111	khan a.	-0.375	0.0824	3	5	8	8	61	14.108	2020	7.625	1.7635
1174	kumar a.	-0.6365	-0.4145	6	6	8	12	129	10.3852	2018.6667	10.75	0.8654
1378	masignani v.	0.6054	-0.0695	1	9	24	10	293	12.3168	2011.4	29.3	1.2317
1441	miyoshi a.	-0.3247	-0.3313	2	10	24	6	130	5.6011	2013	21.6667	0.9335
1468	mora m.	0.5418	0.0222	1	7	14	5	200	3.7785	2007.2	40	0.7557
1472	moriel d.g.	0.5907	0.1176	1	7	18	5	356	6.6898	2010.4	71.2	1.338
1546	naz a.	-0.4043	-0.0618	3	12	22	9	281	23.5003	2018	31.2222	2.6111
1600	oliveira c.j.f.	-0.3135	-0.7108	2	6	18	5	17	2.3849	2020.4	3.4	0.477
1611	ong e.	0.4907	-0.7489	4	3	10	7	138	18.1119	2019.5714	19.7143	2.5874
1639	pandey k.	-0.6975	-0.4191	6	1	3	5	65	3.9923	2018.4	13	0.7985
1704	pizza m.	0.7741	-0.0571	1	9	48	25	1137	40.9261	2011.32	45.48	1.637
1717	potter a.	0.5844	1.0369	12	0	0	5	33	1.6276	2016	6.6	0.3255
1776	ramos r.t.j.	-0.3236	-0.571	2	9	22	6	38	1.6233	2018.6667	6.3333	0.2706
1780	rappuoli r.	0.6928	-0.1361	1	10	55	43	3422	90.4047	2010.3023	79.5814	2.1024
1934	scarselli m.	0.6847	0.01	1	9	28	9	508	10.0008	2011.7778	56.4444	1.1112
1955	seib k.l.	0.8249	-0.1816	1	6	13	6	481	10.5391	2012.1667	80.1667	1.7565
1967	serino l.	0.6958	0.119	1	8	23	7	372	6.3849	2009.5714	53.1429	0.9121
1970	serruto d.	0.8871	-0.0688	1	7	17	6	642	13.8855	2009.1667	107	2.3142
1981	shahid f.	-0.4578	0.0455	3	6	12	5	45	13.229	2020.8	9	2.6458
2018	silva a.	-0.4683	-0.3543	2	9	28	7	135	6.2953	2014.1429	19.2857	0.8993
2049	soares s.c.	-0.4332	-0.5938	2	10	35	7	98	5.2909	2017.5714	14	0.7558
2057	solanki v.	-0.1106	1.1341	7	1	5	5	102	8.4474	2020	20.4	1.6895
2148	taranto a.g.	-0.1906	-0.3389	2	2	2	5	38	5.765	2017.6	7.6	1.153
2182	tiwari s.	-0.2415	-0.4802	2	12	46	12	127	11.2595	2019	10.5833	0.9383
2183	tiwari v.	-0.0643	1.1472	7	1	5	5	102	8.4474	2020	20.4	1.6895
2253	van regenmortel m.h.v.	-1.0126	0.5289	13	0	0	6	128	4.5471	2014.3333	21.3333	0.7578
2260	veggi d.	0.8174	0.0486	1	9	19	6	306	7.4161	2008.5	51	1.236
2300	wang h.	0.5384	-0.8101	4	3	7	5	33	5.3172	2019.6	6.6	1.0634
2351	xiang z.	0.6274	-0.756	4	3	9	7	347	10.3587	2013.8571	49.5714	1.4798
